,거래금액,거래유형,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부
0,"5,500",,1992,2012,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,1,2,45730-3,58.85,,1216-3,45730,3,,
1,"8,200",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,1,6,45730-2,58.96,,1427-2,45730,5,,
2,"14,500",,2006,2012,신교로,00051,00000,45730,01,0,3275033,무주읍 읍내리,1427,0004,45730,25021,1,나래울(102동),1,7,45730-27,84.87,,1427-4,45730,8,,
3,"6,000",,1992,2012,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,1,12,45730-3,59.97,,1216-3,45730,2,,
4,"8,500",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,1,18,45730-2,58.75,,1427-2,45730,8,,
0,"8,800",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,2,3,45730-2,58.75,,1427-2,45730,9,,
1,"8,000",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,2,16,45730-2,58.75,,1427-2,45730,2,,
2,"5,000",,1992,2012,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,2,17,45730-3,58.85,,1216-3,45730,3,,
0,"15,000",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,3,8,45730-2,84.92,,1427-2,45730,7,,
1,"5,200",,1993,2012,죽향로,00033,00004,45730,01,0,3275045,무주읍 읍내리,1300,0005,45730,25021,1,근영,3,12,45730-1,59.34,,1300-5,45730,9,,
2,"8,900",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,3,23,45730-2,58.75,,1427-2,45730,6,,
3,"8,250",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,3,26,45730-2,58.75,,1427-2,45730,3,,
0,"6,200",,2003,2012,장터로,00009,00000,45730,01,0,3275041,무주읍 읍내리,1220,0003,45730,25021,1,강변마을현대,4,3,45730-5,67.23,,1220-3,45730,4,,
1,"6,150",,1992,2012,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,4,18,45730-3,59.97,,1216-3,45730,2,,
0,"6,200",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,5,12,45730-2,58.75,,1427-2,45730,9,,
1,"4,200",,1990,2012,한수로,00037,00002,45730,01,0,3275052,무주읍 읍내리,0464,0001,45730,25021,1,한국프라자,5,17,45730-4,73.32,,464-1,45730,2,,
0,"8,050",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,6,1,45730-2,58.96,,1427-2,45730,10,,
1,"8,550",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,6,2,45730-2,58.75,,1427-2,45730,5,,
2,"3,400",,1992,2012,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,6,4,45730-3,42.96,,1216-3,45730,4,,
0,"8,850",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,7,30,45730-2,58.75,,1427-2,45730,10,,
0,"17,500",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,9,3,45730-2,84.92,,1427-2,45730,5,,
1,"4,500",,1992,2012,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,9,5,45730-3,59.97,,1216-3,45730,5,,
0,"9,200",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,1,45730-2,58.75,,1427-2,45730,8,,
1,"15,200",,2006,2012,신교로,00053,00000,45730,01,0,3275033,무주읍 읍내리,1427,0000,45730,25021,1,나래울,10,8,45730-26,84.87,,1427,45730,6,,
0,"3,800",,1992,2012,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,11,8,45730-3,60.27,,1216-3,45730,5,,
1,"5,500",,1992,2012,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,11,20,45730-3,59.97,,1216-3,45730,5,,
2,"8,800",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,11,23,45730-2,58.75,,1427-2,45730,10,,
0,"8,500",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,12,3,45730-2,58.75,,1427-2,45730,5,,
1,"7,500",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,12,5,45730-2,58.75,,1427-2,45730,1,,
2,"12,000",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,12,5,45730-2,84.92,,1427-2,45730,2,,
3,"7,500",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,12,10,45730-2,58.75,,1427-2,45730,1,,
4,"8,000",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,12,18,45730-2,58.75,,1427-2,45730,9,,
5,"7,800",,2001,2012,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,12,20,45730-2,58.75,,1427-2,45730,10,,
0,"8,000",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,1,10,45730-2,58.75,,1427-2,45730,4,,
1,"8,450",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,1,11,45730-2,58.75,,1427-2,45730,7,,
2,"8,400",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,1,11,45730-2,58.75,,1427-2,45730,9,,
3,"5,500",,1993,2013,죽향로,00033,00004,45730,01,0,3275045,무주읍 읍내리,1300,0005,45730,25021,1,근영,1,24,45730-1,59.34,,1300-5,45730,4,,
4,"7,400",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,1,27,45730-2,58.75,,1427-2,45730,1,,
5,"17,391",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,1,23,45730-38,84.6163,,689-1,45730,4,,
6,"13,213",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,1,29,45730-38,59.99,,689-1,45730,10,,
7,"12,966",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,1,31,45730-38,59.99,,689-1,45730,4,,
8,"13,213",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,1,31,45730-38,59.99,,689-1,45730,8,,
9,"6,500",,1995,2013,상평지길,00008,00000,45730,01,0,4625130,설천면 소천리,0884,0022,45730,32024,1,쌍방울,1,28,45730-6,84.48,,884-22,45730,6,,
0,"6,000",,1990,2013,한수로,00037,00002,45730,01,0,3275052,무주읍 읍내리,0464,0001,45730,25021,1,한국프라자,2,12,45730-4,73.32,,464-1,45730,2,,
1,"3,350",,1992,2013,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,2,14,45730-3,58.85,,1216-3,45730,2,,
2,"12,300",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,2,24,45730-2,84.92,,1427-2,45730,1,,
3,"8,500",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,2,27,45730-2,58.75,,1427-2,45730,7,,
4,"13,213",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,2,12,45730-38,59.99,,689-1,45730,11,,
5,"13,213",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,2,17,45730-38,59.99,,689-1,45730,5,,
6,"18,000",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,2,19,45730-39,84.55,,1215,45730,6,,
7,"18,000",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,2,20,45730-39,84.55,,1215,45730,10,,
0,"6,100",,1992,2013,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,3,4,45730-3,59.97,,1216-3,45730,2,,
1,"8,500",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,3,20,45730-2,58.75,,1427-2,45730,2,,
2,"18,000",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,3,1,45730-39,84.55,,1215,45730,9,,
3,"13,213",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,3,3,45730-38,59.99,,689-1,45730,9,,
4,"17,400",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,3,5,45730-39,84.55,,1215,45730,7,,
5,"18,000",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,3,6,45730-39,84.55,,1215,45730,12,,
6,"18,000",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,3,11,45730-39,84.55,,1215,45730,7,,
0,"18,000",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,4,3,45730-39,84.55,,1215,45730,6,,
1,"18,000",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,4,30,45730-39,84.55,,1215,45730,5,,
0,"15,500",,2006,2013,신교로,00053,00000,45730,01,0,3275033,무주읍 읍내리,1427,0000,45730,25021,1,나래울,5,31,45730-26,84.87,,1427,45730,7,,
1,"17,600",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,5,2,45730-39,84.55,,1215,45730,8,,
2,"19,454",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,5,15,45730-38,84.9175,,689-1,45730,8,,
3,"16,700",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,5,25,45730-39,84.55,,1215,45730,4,,
4,"6,500",,1995,2013,상평지길,00008,00000,45730,01,0,4625130,설천면 소천리,0884,0022,45730,32024,1,쌍방울,5,27,45730-6,59.4,,884-22,45730,3,,
0,"8,700",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,6,12,45730-2,58.75,,1427-2,45730,4,,
1,"5,500",,1992,2013,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,6,26,45730-3,69.63,,1216-3,45730,4,,
2,"15,000",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,6,27,45730-2,84.92,,1427-2,45730,4,,
3,"17,773",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,6,7,45730-38,84.6163,,689-1,45730,6,,
0,"8,750",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,7,3,45730-2,58.96,,1427-2,45730,6,,
1,"9,500",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,7,26,45730-2,58.75,,1427-2,45730,9,,
0,"15,000",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,8,30,45730-2,84.92,,1427-2,45730,3,,
1,"16,300",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,8,12,45730-39,84.55,,1215,45730,4,,
0,"9,100",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,9,5,45730-2,58.75,,1427-2,45730,2,,
1,"15,500",,2006,2013,신교로,00051,00000,45730,01,0,3275033,무주읍 읍내리,1427,0004,45730,25021,1,나래울(102동),9,10,45730-27,84.87,,1427-4,45730,5,,
2,"8,800",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,9,30,45730-2,58.75,,1427-2,45730,3,,
3,"16,700",,2013,2013,한풍루로,00361,00000,45730,01,0,3275053,무주읍 당산리,1215,0000,45730,25022,1,미래드림,9,6,45730-39,84.55,,1215,45730,5,,
0,"8,500",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,3,45730-2,58.75,,1427-2,45730,10,,
1,"7,500",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,4,45730-2,58.75,,1427-2,45730,6,,
2,"8,400",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,7,45730-2,58.75,,1427-2,45730,3,,
3,"14,500",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,7,45730-2,84.92,,1427-2,45730,10,,
4,"8,800",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,16,45730-2,58.75,,1427-2,45730,5,,
0,"6,800",,1993,2013,죽향로,00033,00004,45730,01,0,3275045,무주읍 읍내리,1300,0005,45730,25021,1,근영,11,19,45730-1,65.55,,1300-5,45730,7,,
1,"5,000",,1992,2013,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,11,21,45730-3,69.63,,1216-3,45730,5,,
2,"7,500",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,11,27,45730-2,58.75,,1427-2,45730,8,,
3,"19,454",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,11,11,45730-38,84.9175,,689-1,45730,4,,
4,"19,454",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,11,11,45730-38,84.9175,,689-1,45730,7,,
5,"6,300",,1995,2013,상평지길,00008,00000,45730,01,0,4625130,설천면 소천리,0884,0022,45730,32024,1,쌍방울,11,30,45730-6,59.4,,884-22,45730,7,,
0,"3,650",,1992,2013,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,12,26,45730-3,42.96,,1216-3,45730,5,,
1,"7,500",,2003,2013,장터로,00009,00000,45730,01,0,3275041,무주읍 읍내리,1220,0003,45730,25021,1,강변마을현대,12,27,45730-5,63.45,,1220-3,45730,2,,
2,"9,200",,2001,2013,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,12,31,45730-2,58.75,,1427-2,45730,5,,
3,"7,000",,1990,2013,한수로,00037,00002,45730,01,0,3275052,무주읍 읍내리,0464,0001,45730,25021,1,한국프라자,12,31,45730-4,73.32,,464-1,45730,1,,
4,"18,200",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,12,3,45730-38,84.9175,,689-1,45730,3,,
5,"18,744",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,12,5,45730-38,84.9175,,689-1,45730,6,,
6,"16,991",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,12,9,45730-38,84.6163,,689-1,45730,4,,
7,"19,454",,2012,2013,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,12,9,45730-38,84.9175,,689-1,45730,9,,
0,"4,800",,1992,2014,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,1,10,45730-3,60.27,,1216-3,45730,1,,
1,"6,000",,1993,2014,죽향로,00033,00004,45730,01,0,3275045,무주읍 읍내리,1300,0005,45730,25021,1,근영,1,17,45730-1,59.34,,1300-5,45730,7,,
2,"8,800",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,1,25,45730-2,58.75,,1427-2,45730,9,,
3,"13,500",,2012,2014,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,1,19,45730-38,59.99,,689-1,45730,8,,
0,"8,800",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,2,10,45730-2,58.75,,1427-2,45730,2,,
0,"8,700",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,3,3,45730-2,58.75,,1427-2,45730,7,,
1,"8,500",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,3,23,45730-2,58.75,,1427-2,45730,10,,
2,"17,773",,2012,2014,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,3,13,45730-38,84.6163,,689-1,45730,5,,
0,"15,300",,2006,2014,신교로,00051,00000,45730,01,0,3275033,무주읍 읍내리,1427,0004,45730,25021,1,나래울(102동),4,18,45730-27,84.87,,1427-4,45730,4,,
1,"3,500",,1992,2014,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,4,29,45730-3,59.97,,1216-3,45730,5,,
2,"17,773",,2012,2014,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,4,28,45730-38,84.6163,,689-1,45730,9,,
0,"6,300",,1993,2014,죽향로,00033,00004,45730,01,0,3275045,무주읍 읍내리,1300,0005,45730,25021,1,근영,5,14,45730-1,59.34,,1300-5,45730,1,,
1,"14,800",,2006,2014,신교로,00053,00000,45730,01,0,3275033,무주읍 읍내리,1427,0000,45730,25021,1,나래울,5,30,45730-26,84.87,,1427,45730,6,,
0,"10,000",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,6,23,45730-2,58.75,,1427-2,45730,9,,
1,"13,000",,2012,2014,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,6,30,45730-38,59.99,,689-1,45730,11,,
0,"17,500",,2012,2014,한풍루로,00387,00008,45730,01,0,3275053,무주읍 당산리,0689,0001,45730,25022,1,에코리버,7,17,45730-38,84.6163,,689-1,45730,9,,
0,"8,000",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,8,18,45730-2,58.75,,1427-2,45730,7,,
0,"8,000",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,9,6,45730-2,58.96,,1427-2,45730,1,,
1,"5,000",,1992,2014,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,9,23,45730-3,69.63,,1216-3,45730,5,,
2,"9,500",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,9,24,45730-2,58.75,,1427-2,45730,5,,
3,"9,000",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,9,27,45730-2,58.75,,1427-2,45730,1,,
4,"16,500",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,9,27,45730-2,84.92,,1427-2,45730,5,,
0,"9,500",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,1,45730-2,58.75,,1427-2,45730,2,,
1,"17,300",,2006,2014,신교로,00053,00000,45730,01,0,3275033,무주읍 읍내리,1427,0000,45730,25021,1,나래울,10,4,45730-26,84.87,,1427,45730,8,,
2,"15,500",,2006,2014,신교로,00053,00000,45730,01,0,3275033,무주읍 읍내리,1427,0000,45730,25021,1,나래울,10,14,45730-26,84.87,,1427,45730,10,,
3,"11,500",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,16,45730-2,58.75,,1427-2,45730,8,,
4,"9,200",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,17,45730-2,58.75,,1427-2,45730,5,,
5,"5,000",,1992,2014,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,10,21,45730-3,58.85,,1216-3,45730,5,,
6,"8,000",,2001,2014,신교로3길,00010,00000,45730,01,0,4625148,무주읍 읍내리,1427,0002,45730,25021,1,무주반딧불,10,22,45730-2,58.75,,1427-2,45730,2,,
7,"4,620",,1992,2014,장터로,00016,00000,45730,01,0,3275041,무주읍 읍내리,1216,0003,45730,25021,1,상록,10,31,45730-3,59.97,,1216-3,45730,4,,
8,"5,500",,1995,2014,상평지길,00008,00000,45730,01,0,4625130,설천면 소천리,0884,0022,45730,32024,1,쌍방울,10,15,45730-6,59.4,,884-22,45730,8,,
9,"8,680",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,1,,
10,"8,680",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,1,,
11,"8,680",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,1,,
12,"8,800",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,1,,
13,"8,800",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,1,,
14,"8,680",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,1,,
15,"8,680",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,1,,
16,"8,850",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,2,,
17,"8,800",,2013,2014,하산길,00030,00000,45730,01,0,4625252,안성면 사전리,1214,0004,45730,34027,1,안성리벤빌,10,10,45730-41,61.92,,1214-4,45730,2,,
